sequence,method_id,readable_name,family,comparison_type,audit_status,version,mask_protocol,baseline,next_decision,failure_reason,JM_or_mask_JM,JR,F,PSNR_proxy,PSNR_synthetic,SSIM,n_frames,routing_or_prompt,quality_note,metrics_source,mask_frames,masked_in,inpaint_out,script_path,config_path,deliverable_dir,plain_explanation,current_takeaway
tennis,part2_mask_baseline,Part2 YOLO+SAM2 基线 mask,baseline,mask_only,reference,legacy,,,,,0.9320,1.0000,0.9671,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/results_davis_masks.csv,/data3/jli657/project3/part2/masks_cache/tennis_v3,,,,,/data3/jli657/project3/part3/part3_deliverables/tennis/part2_mask_baseline,这是 Part2 的历史基线，只看遮罩本身，不看后续修复。,它是后面所有 Part3 路线的参照系，不是这次要主推的创新点。
bmx-trees,part2_mask_baseline,Part2 YOLO+SAM2 基线 mask,baseline,mask_only,reference,legacy,,,,,0.6403,0.8875,0.6850,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/results_davis_masks.csv,/data3/jli657/project3/part2/masks_cache/bmx-trees_bbox_union,,,,,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/part2_mask_baseline,这是 Part2 的历史基线，只看遮罩本身，不看后续修复。,它是后面所有 Part3 路线的参照系，不是这次要主推的创新点。
blackswan,part2_mask_baseline,Part2 YOLO+SAM2 基线 mask,baseline,mask_only,reference,legacy,,,,,0.9551,1.0000,0.9282,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/results_davis_masks.csv,/data3/jli657/project3/part2/masks_cache/blackswan,,,,,/data3/jli657/project3/part3/part3_deliverables/blackswan/part2_mask_baseline,这是 Part2 的历史基线，只看遮罩本身，不看后续修复。,它是后面所有 Part3 路线的参照系，不是这次要主推的创新点。
car-shadow,part2_mask_baseline,Part2 YOLO+SAM2 基线 mask,baseline,mask_only,reference,legacy,,,,,0.9746,1.0000,0.9488,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/results_davis_masks.csv,/data3/jli657/project3/part2/masks_cache/car-shadow,,,,,/data3/jli657/project3/part3/part3_deliverables/car-shadow/part2_mask_baseline,这是 Part2 的历史基线，只看遮罩本身，不看后续修复。,它是后面所有 Part3 路线的参照系，不是这次要主推的创新点。
horsejump-low,part2_mask_baseline,Part2 YOLO+SAM2 基线 mask,baseline,mask_only,reference,legacy,,,,,0.7235,1.0000,0.7698,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/results_davis_masks.csv,/data3/jli657/project3/part2/masks_cache/horsejump-low,,,,,/data3/jli657/project3/part3/part3_deliverables/horsejump-low/part2_mask_baseline,这是 Part2 的历史基线，只看遮罩本身，不看后续修复。,它是后面所有 Part3 路线的参照系，不是这次要主推的创新点。
koala,part2_mask_baseline,Part2 YOLO+SAM2 基线 mask,baseline,mask_only,reference,legacy,,,,,,,,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,,.,,,,,/data3/jli657/project3/part3/part3_deliverables/koala/part2_mask_baseline,这是 Part2 的历史基线，只看遮罩本身，不看后续修复。,它是后面所有 Part3 路线的参照系，不是这次要主推的创新点。
wild_video-1person,part2_mask_baseline,Part2 YOLO+SAM2 基线 mask,baseline,mask_only,reference,legacy,,,,,,,,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,,/data3/jli657/project3/part2/masks_cache/wild_video-1person,,,,,/data3/jli657/project3/part3/part3_deliverables/wild_video-1person/part2_mask_baseline,这是 Part2 的历史基线，只看遮罩本身，不看后续修复。,它是后面所有 Part3 路线的参照系，不是这次要主推的创新点。
tennis,part2_baseline_full_pipeline,Part2 YOLO+SAM2+ProPainter 基线完整流程,baseline,full_pipeline,reference,legacy,,,,,,,,32.5143,8.5409,nan,70,,完整流程结果，适合看最终效果，但要能拆回 mask 和 inpaint。,/data3/jli657/project3/part3/results/evaluation_summary.csv,/data3/jli657/project3/part2/masks_cache/tennis_v3,/data3/jli657/project3/part2/outputs/tennis_v3/tennis/masked_in.mp4,/data3/jli657/project3/part2/outputs/tennis_v3/tennis/inpaint_out.mp4,,,/data3/jli657/project3/part3/part3_deliverables/tennis/part2_baseline_full_pipeline,这是旧基线：YOLO+SAM2 先出 mask，再用 ProPainter 修复。,它不是最先进，但它很重要，因为很多新方法必须先超过它才有说服力。
bmx-trees,part2_baseline_full_pipeline,Part2 YOLO+SAM2+ProPainter 基线完整流程,baseline,full_pipeline,reference,legacy,,,,,,,,,,,,,完整流程结果，适合看最终效果，但要能拆回 mask 和 inpaint。,,/data3/jli657/project3/part2/masks_cache/bmx-trees_bbox_union,/data3/jli657/project3/part2/outputs/bmx-trees_v2/bmx-trees/masked_in.mp4,/data3/jli657/project3/part2/outputs/bmx-trees_v2/bmx-trees/inpaint_out.mp4,,,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/part2_baseline_full_pipeline,这是旧基线：YOLO+SAM2 先出 mask，再用 ProPainter 修复。,它不是最先进，但它很重要，因为很多新方法必须先超过它才有说服力。
wild_video-1person,part2_baseline_full_pipeline,Part2 YOLO+SAM2+ProPainter 基线完整流程,baseline,full_pipeline,reference,legacy,,,,,,,,,,,,,完整流程结果，适合看最终效果，但要能拆回 mask 和 inpaint。,,/data3/jli657/project3/part2/masks_cache/wild_video-1person,/data3/jli657/project3/part2/outputs/wild_video-1person/wild_video-1person/masked_in.mp4,/data3/jli657/project3/part2/outputs/wild_video-1person/wild_video-1person/inpaint_out.mp4,,,/data3/jli657/project3/part3/part3_deliverables/wild_video-1person/part2_baseline_full_pipeline,这是旧基线：YOLO+SAM2 先出 mask，再用 ProPainter 修复。,它不是最先进，但它很重要，因为很多新方法必须先超过它才有说服力。
